userId,journeyId
172,1
181,1
177,1
145,1
170,1
144,1
250,1
223,2
159,2
178,2
135,2
30,2
191,2
203,2
294,2
215,2
229,2
212,3
138,3
200,4
78,4
25,4
36,4
62,4
1,5
67,6
251,6
22,6
145,6
127,6
101,6
82,6
111,6
16,7
226,7
149,7
211,8
14,8
199,8
207,8
159,8
245,9
137,9
105,9
148,9
199,9
155,9
180,9
118,9
13,9
135,10
74,10
189,10
65,10
275,10
207,10
237,10
104,10
250,10
143,11
5,11
129,11
105,11
187,11
20,11
180,11
253,12
142,12
92,12
180,13
211,13
197,13
123,13
155,13
27,14
159,14
235,14
17,14
100,15
287,15
184,15
284,15
120,15
42,16
269,16
194,16
216,16
274,16
271,16
207,17
276,17
64,17
280,17
216,17
268,17
94,17
23,17
132,17
117,18
141,19
76,19
161,19
206,20
50,20
179,20
110,20
72,20
6,20
223,21
200,21
234,21
15,22
21,22
58,23
154,23
161,23
173,23
47,23
21,23
200,23
216,23
75,23
276,23
259,24
293,24
133,24
150,24
69,25
241,25
78,25
255,25
151,25
81,25
246,25
167,25
105,25
82,25
28,26
56,26
68,26
96,26
31,26
247,26
14,26
240,26
208,27
111,27
242,27
15,28
62,28
190,28
232,28
77,28
255,28
53,28
247,28
246,28
199,29
148,29
265,29
140,29
280,29
234,30
289,30
271,30
90,30
253,30
161,31
41,31
11,32
80,32
227,32
164,32
224,33
132,33
294,33
8,33
273,33
53,33
105,33
96,33
103,34
249,34
19,34
296,34
267,34
226,35
31,35
285,35
148,35
76,35
48,35
139,35
282,36
130,36
118,36
74,36
280,36
294,36
232,36
75,37
246,37
2,37
64,37
228,37
167,37
91,37
58,37
193,38
191,38
143,38
215,38
259,39
213,39
64,39
106,39
112,40
239,40
136,40
180,40
231,40
55,40
99,40
247,40
121,41
198,41
181,41
147,41
44,41
179,41
112,42
187,42
185,42
282,42
184,42
290,42
222,43
234,43
150,43
270,43
2,43
76,43
226,43
134,43
245,43
297,44
158,44
135,44
57,45
182,45
107,45
257,45
248,45
21,45
189,45
225,45
66,45
56,45
61,46
89,47
295,47
113,47
164,47
111,47
266,47
276,47
125,47
292,48
267,48
42,48
97,48
245,48
184,48
109,48
168,49
99,49
236,49
268,49
267,50
75,50
14,50
269,50
200,50
142,50
210,51
266,51
299,51
257,51
151,51
138,51
291,51
261,51
121,51
229,52
202,52
65,52
103,52
265,52
117,52
57,52
7,52
154,52
104,53
72,53
32,53
175,53
295,53
213,54
86,54
134,55
64,55
257,55
186,55
85,56
227,56
56,56
161,56
140,56
55,56
17,56
68,57
236,57
31,57
128,57
282,58
289,59
239,59
67,59
219,59
10,60
172,60
217,60
7,60
168,60
49,60
122,61
105,61
140,61
219,61
186,61
215,61
31,61
202,61
176,62
29,62
29,63
196,63
235,63
134,63
174,63
55,64
95,64
58,64
20,64
215,64
225,64
249,65
68,65
34,65
88,65
73,65
80,65
37,65
280,66
122,66
291,66
156,66
253,66
288,67
13,67
70,67
92,67
261,67
228,67
203,67
255,67
199,68
64,68
281,69
137,69
95,69
212,69
83,70
57,70
159,70
103,70
218,70
149,70
56,70
138,70
118,70
183,71
115,71
93,71
281,71
175,71
90,71
263,71
129,71
177,72
271,72
275,72
22,72
128,73
279,73
240,73
210,74
203,74
135,74
271,75
241,75
24,75
52,75
50,75
158,75
209,75
292,75
1,75
72,75
220,76
87,76
13,76
107,76
298,76
50,76
111,76
54,76
143,76
54,77
274,77
218,77
195,77
293,78
163,78
117,78
266,78
95,78
179,78
202,78
253,78
39,79
75,79
27,79
194,79
33,80
113,80
171,80
141,80
66,80
39,80
148,80
11,80
271,80
171,81
235,81
133,81
231,81
128,81
50,81
57,82
158,83
87,84
187,84
221,84
104,84
294,84
293,84
50,85
138,85
77,85
46,85
59,85
156,85
237,85
203,85
287,86
142,86
6,86
230,86
51,86
76,86
139,86
197,87
232,87
232,88
251,88
159,88
112,88
201,88
108,89
100,89
176,89
161,89
95,89
257,89
34,90
271,90
193,90
280,90
21,90
257,90
205,90
262,90
234,90
210,91
80,91
73,91
298,92
204,92
136,92
2,92
201,92
248,93
207,93
247,93
19,93
53,93
262,93
161,93
169,93
179,93
82,93
284,94
110,94
101,94
14,94
100,94
54,94
125,94
104,94
176,94
184,94
7,95
143,96
89,96
230,97
