user1Id,user2Id
1,248
1,59
1,93
1,239
1,92
1,259
1,147
1,190
1,226
1,77
1,299
1,120
1,96
1,291
1,193
2,268
2,16
2,237
2,6
2,276
2,184
2,186
2,118
2,257
2,226
2,258
2,224
2,265
2,232
2,68
2,278
2,155
2,2
3,160
3,11
3,94
3,130
3,283
3,251
3,266
3,202
3,95
3,40
3,54
3,226
3,92
3,282
3,231
3,131
3,122
3,41
3,89
3,287
4,253
4,49
4,235
4,216
4,135
4,278
4,83
4,101
4,145
4,222
4,174
4,122
4,77
4,293
4,9
4,99
4,204
4,43
4,179
4,19
4,203
4,29
4,162
4,72
4,36
4,10
4,81
4,55
4,74
4,167
4,205
4,269
4,102
4,152
5,104
5,227
5,64
5,23
5,53
5,51
5,215
5,5
5,279
5,66
5,173
5,88
5,92
5,127
5,277
5,29
5,182
5,63
5,49
5,150
5,258
5,220
5,119
5,7
5,96
5,65
5,248
5,148
5,270
5,205
5,276
5,84
6,154
6,292
6,80
6,52
6,257
6,212
6,112
6,41
6,102
6,47
6,104
6,220
6,132
6,36
6,85
6,247
6,75
7,47
7,15
7,261
7,14
7,289
7,193
7,230
7,235
7,268
7,67
7,70
7,162
7,27
7,135
7,145
7,244
7,253
7,73
7,40
7,62
7,285
7,95
7,155
7,64
7,115
7,262
7,173
7,92
7,82
7,236
8,98
8,65
8,74
8,92
8,53
8,274
8,2
8,109
8,87
8,95
8,86
8,189
8,33
8,97
8,76
8,112
8,169
8,282
9,140
9,128
9,80
9,132
9,103
9,200
10,188
10,132
10,178
10,293
10,169
10,176
10,251
10,117
10,50
10,25
10,67
10,133
10,265
10,8
10,271
10,126
10,121
10,77
10,198
10,27
10,125
10,232
10,161
10,146
10,39
10,95
10,56
10,177
10,43
10,230
10,226
10,68
11,29
11,35
11,95
11,191
11,69
11,277
11,236
11,6
11,151
11,235
11,167
11,57
11,158
11,278
11,51
11,155
12,250
12,273
12,128
12,241
12,94
12,95
12,73
12,234
12,186
12,102
13,38
13,268
13,87
13,292
13,296
13,256
13,35
14,137
14,250
14,227
14,268
14,200
14,257
14,40
14,69
14,52
14,254
14,226
14,103
14,12
14,35
14,120
14,166
14,11
14,202
14,154
14,116
14,129
14,70
14,141
14,198
14,265
14,211
14,99
14,299
14,276
14,188
14,171
14,204
14,145
14,109
14,182
14,199
14,263
14,131
14,251
15,203
15,54
15,297
15,288
15,294
15,68
15,118
15,152
15,145
15,290
15,65
15,234
15,282
15,107
15,223
15,78
15,155
15,160
15,226
15,127
15,300
15,174
15,244
15,252
15,55
15,29
15,170
15,22
15,138
15,298
15,221
15,200
15,201
15,283
15,217
15,129
15,69
15,293
15,49
16,233
16,164
17,72
17,130
17,290
17,200
17,230
17,251
17,159
17,271
17,18
17,173
17,192
18,140
18,192
18,297
18,202
18,117
18,52
18,83
18,182
18,76
18,224
18,235
18,80
18,180
19,126
19,46
19,143
19,240
19,100
19,137
19,12
19,127
19,60
19,149
19,225
19,1
19,19
19,18
19,20
19,120
19,168
19,2
19,227
19,135
19,255
19,72
19,242
20,3
20,149
20,269
20,163
20,14
20,51
20,167
20,131
20,213
20,129
20,56
20,128
20,238
20,122
20,47
20,26
20,22
20,189
20,134
20,182
20,34
21,61
21,28
21,267
21,171
21,237
21,62
21,183
21,208
21,283
