userId,ratingId,journeyId
186,1,158
64,2,37
239,3,255
194,4,136
171,5,235
249,6,264
296,7,288
239,8,101
75,9,271
194,10,16
48,11,35
14,12,257
19,13,229
216,14,282
4,15,152
133,16,219
43,17,134
282,18,173
96,19,205
79,20,272
206,21,20
262,22,93
285,23,145
233,24,242
249,25,34
84,26,151
65,27,224
250,28,150
149,29,7
189,30,169
5,31,194
230,32,97
119,33,246
56,34,288
254,35,99
229,36,52
135,37,153
12,38,195
200,39,189
205,40,205
150,41,226
90,42,191
246,43,262
264,44,197
250,45,202
142,46,86
183,47,71
167,48,133
21,49,153
175,50,100
81,51,105
256,52,257
216,53,16
190,54,28
43,55,231
33,56,80
296,57,128
134,58,203
203,59,67
17,60,283
150,61,201
118,62,191
16,63,295
112,64,42
194,65,182
158,66,104
48,67,122
167,68,168
179,69,296
161,70,191
81,71,144
48,72,188
142,73,267
238,74,221
50,75,140
56,76,70
228,77,210
275,78,72
296,79,271
179,80,239
269,81,16
35,82,172
299,83,218
139,84,35
159,85,106
125,86,274
31,87,26
59,88,198
154,89,106
35,90,216
220,91,76
162,92,287
257,93,90
53,94,33
209,95,129
300,96,135
95,97,89
293,98,84
116,99,190
10,100,231
169,101,249
262,102,105
292,103,75
253,104,30
65,105,259
52,106,75
76,107,43
101,108,6
266,109,157
272,110,261
254,111,188
129,112,164
4,113,242
248,114,93
142,115,50
227,116,218
217,117,145
124,118,156
57,119,70
50,120,85
66,121,210
27,122,117
74,123,165
186,124,225
213,125,290
37,126,195
268,127,49
43,128,166
5,129,202
205,130,192
277,131,102
108,132,89
2,133,213
64,134,68
257,135,55
72,136,237
295,137,156
184,138,94
233,139,125
200,140,270
129,141,71
68,142,287
152,143,172
103,144,52
170,145,1
165,146,271
143,147,234
74,148,201
53,149,140
83,150,202
143,151,203
125,152,47
158,153,44
168,154,194
102,155,106
55,156,40
10,157,60
154,158,244
187,159,84
232,160,200
140,161,187
228,162,37
216,163,23
223,164,2
245,165,125
23,166,17
155,167,9
118,168,250
67,169,215
83,170,168
158,171,174
179,172,20
146,173,162
123,174,213
290,175,141
246,176,251
39,177,250
91,178,160
207,179,132
106,180,39
209,181,75
134,182,63
77,183,150
232,184,28
201,185,92
59,186,210
36,187,269
27,188,213
271,189,80
259,190,262
97,191,176
242,192,246
293,193,138
106,194,174
105,195,61
195,196,209
269,197,165
78,198,151
62,199,4
76,200,137
114,201,218
77,202,220
114,203,291
9,204,197
138,205,51
232,206,121
14,207,162
29,208,62
170,209,170
201,210,194
159,211,294
228,212,67
15,213,130
182,214,225
95,215,296
73,216,259
281,217,71
215,218,279
158,219,75
121,220,169
100,221,264
149,222,267
74,223,282
182,224,217
8,225,147
159,226,264
70,227,248
246,228,213
285,229,282
198,230,175
138,231,85
248,232,149
1,233,134
80,234,65
45,235,214
281,236,69
51,237,241
82,238,6
48,239,273
259,240,140
258,241,291
75,242,215
82,243,118
289,244,261
94,245,17
123,246,154
298,247,76
65,248,284
139,249,296
11,250,130
197,251,156
148,252,29
100,253,200
1,254,5
48,255,119
257,256,51
137,257,199
296,258,34
136,259,265
156,260,162
76,261,205
199,262,8
92,263,147
205,264,295
256,265,269
