user1Id,user2Id
1,228
1,187
2,161
3,103
3,64
3,17
3,166
3,142
3,272
3,210
3,161
3,77
3,278
3,79
3,68
3,179
3,201
3,273
3,81
3,24
3,107
3,110
3,295
3,102
3,2
3,197
3,189
3,234
3,174
3,40
3,269
3,187
4,78
4,235
4,182
5,125
5,265
5,207
5,62
5,135
5,234
5,2
5,177
5,185
5,172
5,140
5,222
5,118
5,298
5,230
5,241
5,89
5,174
5,160
6,271
6,277
6,17
6,82
6,202
6,210
6,147
6,232
6,180
6,168
6,83
6,279
6,143
6,183
6,88
6,244
6,98
6,290
6,198
6,219
6,194
6,130
6,179
6,189
6,55
6,234
6,228
6,222
6,46
6,263
6,102
6,282
6,187
6,173
6,256
6,108
6,241
6,196
6,299
7,165
7,283
7,200
7,53
7,240
7,40
7,97
7,48
7,91
8,286
8,80
8,116
8,204
8,76
8,291
8,171
8,49
8,269
8,50
9,215
9,243
9,12
9,77
9,198
9,207
9,112
9,25
9,8
9,228
9,299
9,216
9,255
9,146
9,260
9,130
9,64
9,80
9,62
9,138
9,14
9,140
9,23
9,194
9,41
9,97
9,110
9,282
9,91
9,48
10,290
10,226
10,257
10,46
10,53
10,231
10,139
10,68
10,298
10,201
10,240
10,269
10,173
10,10
10,259
10,104
10,253
10,143
10,100
10,168
10,40
10,101
10,279
10,238
10,67
10,297
10,109
10,252
10,137
10,172
10,162
10,91
10,266
10,147
11,58
11,137
11,90
11,270
11,13
11,182
11,107
11,63
12,114
12,24
12,277
12,8
12,299
12,191
12,282
12,184
12,120
12,135
12,177
12,83
12,137
12,127
12,136
12,234
12,160
12,246
12,297
12,67
12,203
12,235
12,288
12,187
12,151
12,33
12,53
12,38
12,175
12,75
12,141
13,26
13,142
13,201
13,189
13,222
13,290
13,188
13,257
13,295
13,137
13,99
13,5
13,265
13,249
13,31
13,110
13,104
13,282
13,49
13,205
13,254
13,21
13,12
13,127
13,225
14,290
14,259
14,68
14,116
14,222
14,29
14,212
14,112
14,243
14,8
14,199
14,2
14,291
14,174
14,54
14,261
14,254
14,77
14,190
15,87
15,171
15,214
15,60
15,21
15,299
15,17
15,251
16,97
16,192
17,171
17,283
17,245
17,247
17,71
17,277
17,172
17,54
17,219
17,146
17,75
17,183
17,31
17,176
18,94
18,103
18,129
18,63
18,185
18,4
18,221
18,134
18,178
18,272
18,75
18,218
18,137
18,232
18,109
18,80
18,196
18,72
18,29
18,112
18,122
18,3
18,124
18,186
18,24
18,110
18,34
19,182
19,297
19,178
19,124
19,50
20,5
20,295
20,245
20,119
20,249
20,14
20,251
20,180
20,54
20,45
20,264
20,220
20,239
20,3
20,126
20,103
20,287
20,50
20,163
20,250
20,142
20,111
20,124
20,38
20,123
20,117
20,85
21,236
21,100
21,200
21,144
21,114
21,178
21,10
21,86
21,289
21,36
21,29
21,267
21,187
21,151
21,244
21,254
21,163
21,222
21,43
21,189
21,85
21,81
21,66
21,111
21,223
21,99
21,215
21,28
21,78
21,9
21,278
21,152
21,188
21,282
21,211
21,129
21,291
22,13
22,243
22,11
22,211
22,152
22,157
22,230
22,272
22,261
22,254
22,111
22,69
22,285
22,149
22,53
22,25
22,284
22,37
22,59
22,99
22,44
22,14
22,38
22,39
22,9
23,198
23,155
23,144
23,121
23,26
23,175
23,12
24,168
24,200
24,201
24,248
24,49
24,15
24,271
24,38
24,9
24,235
25,49
25,297
25,145
25,296
25,79
25,7
25,36
26,270
26,103
26,241
26,232
26,193
26,282
26,254
26,45
26,114
26,61
26,184
26,6
26,41
26,165
26,19
26,269
26,36
26,245
26,160
26,222
26,192
26,22
26,226
27,24
27,157
27,54
27,279
27,147
27,5
27,127
27,129
27,180
27,227
27,141
27,280
27,276
27,267
28,187
29,90
29,226
29,123
29,161
29,190
29,166
29,45
29,273
29,172
29,137
29,298
29,256
29,266
29,46
29,286
29,40
29,260
29,158
29,174
29,61
29,213
29,53
29,94
29,262
29,277
30,29
30,131
30,161
30,198
30,134
30,103
30,236
30,83
30,266
30,146
30,284
30,244
30,246
30,151
30,50
30,48
30,228
30,280
30,81
30,75
30,162
30,109
30,17
30,189
30,72
30,274
30,298
30,184
30,14
31,252
31,280
31,146
31,187
31,36
31,204
31,24
31,191
31,40
31,37
31,110
31,240
31,42
31,91
31,49
31,18
31,53
31,130
31,264
31,221
32,261
32,42
32,223
32,27
32,23
32,142
32,155
32,275
32,93
32,52
32,180
32,192
32,123
32,15
33,186
33,72
34,151
34,186
34,74
34,39
34,260
34,25
