userId,destinationId
1,173
2,24
3,154
4,179
5,158
6,199
7,178
8,150
9,39
10,121
11,96
12,171
13,79
14,1
15,164
16,26
17,80
18,72
19,154
20,96
21,178
22,150
23,191
24,115
25,18
26,125
27,182
28,171
29,15
30,104
31,157
32,103
33,77
34,202
35,61
36,85
37,164
38,58
39,117
40,135
41,115
42,142
43,18
44,140
45,78
46,14
47,160
48,150
49,159
50,26
51,162
52,66
53,61
54,45
55,161
56,193
57,97
58,53
59,194
60,152
61,76
62,30
63,140
64,157
65,199
66,200
67,103
68,88
69,95
70,46
71,94
72,180
73,86
74,174
75,122
76,68
77,158
78,50
79,15
80,105
81,186
82,191
83,139
84,14
85,169
86,53
87,163
88,38
89,130
90,67
91,27
92,102
93,186
94,64
95,195
96,142
97,20
98,70
99,44
100,75
101,99
102,44
103,182
104,156
105,111
106,178
107,52
108,162
109,121
110,168
111,119
112,171
113,134
114,101
115,56
116,58
117,136
118,111
119,62
120,98
121,156
122,160
123,9
124,108
125,113
126,133
127,85
128,149
129,44
130,75
131,117
132,187
133,138
134,53
135,159
136,176
137,9
138,143
139,176
140,78
141,185
142,11
143,130
144,75
145,182
146,129
147,181
148,42
149,22
150,54
151,149
152,76
153,134
154,161
155,69
156,173
157,16
158,81
159,165
160,124
161,79
162,8
163,184
164,5
165,71
166,172
167,155
168,76
169,72
170,152
171,192
172,198
173,180
174,134
175,84
176,168
177,112
178,95
179,8
180,40
181,94
182,190
183,109
184,15
185,25
186,199
187,3
188,48
189,59
190,26
191,27
192,147
193,149
194,83
195,14
196,121
197,49
198,193
199,146
200,4
201,103
202,83
203,169
204,123
205,53
206,37
207,84
208,118
209,159
210,110
211,154
212,105
213,138
214,52
215,53
216,149
217,159
218,128
219,142
220,161
221,29
222,179
223,63
224,82
225,145
226,58
227,79
228,76
229,115
230,97
231,144
232,105
233,165
234,199
235,198
236,90
237,33
238,35
239,76
240,11
241,68
242,30
243,55
244,113
245,191
246,58
247,190
248,129
249,17
250,82
251,10
252,102
253,180
254,31
255,70
256,48
257,102
258,13
259,111
260,156
261,144
262,66
263,169
264,47
265,52
266,14
267,16
268,166
269,117
270,60
271,92
272,180
273,37
274,181
275,57
276,201
277,75
278,143
279,165
280,167
281,55
282,194
283,2
284,93
285,200
286,42
287,16
288,162
289,199
290,106
291,103
292,182
293,126
294,26
295,77
296,109
297,46
298,90
299,70
300,131
